author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,VTL,,,,,
7.13449E+17,2017-02-13 12:15:03+00:00, ,8.31114E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Alexandria to Singapore $975 RT with Qatar Airways https://t.co/XC7IF7Tb10 All deals https://‚Ä?,VTL,,,,,
1055221626,2017-02-13 07:08:53+00:00, ,8.31037E+17,en,1,0,0,2, ,#flightdeal #businessclass Stockholm to Auckland $2684 RT with Singapore Airlines https://t.co/2mJ8EUDCRK All deals https://t.co/ob7lLy7xhd,VTL,,,,,
1055221626,2017-02-13 06:18:18+00:00, ,8.31025E+17,en,1,0,0,2, ,#flightdeal #businessclass Alexandria to Singapore $975 RT with Qatar Airways https://t.co/XC7IF7Tb10 All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-11 22:14:50+00:00, ,8.30541E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Singapore to Delhi $624 RT with Malindo Air https://t.co/Oe1kXQWLDn All deals https://t.co/ob‚Ä?,VTL,,,,,
1055221626,2017-02-11 22:14:39+00:00, ,8.30541E+17,en,1,0,0,2, ,#flightdeal #businessclass Singapore to Delhi $624 RT with Malindo Air https://t.co/Oe1kXQWLDn All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-10 14:13:42+00:00, ,8.30057E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Busan to Singapore $718 RT with Vietnam Airlines https://t.co/pZE4Tt7MF9 All deals https://t.‚Ä?,VTL,,,,,
1055221626,2017-02-10 14:04:46+00:00, ,8.30055E+17,en,1,0,0,2, ,#flightdeal #businessclass Busan to Singapore $718 RT with Vietnam Airlines https://t.co/pZE4Tt7MF9 All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-07 21:05:50+00:00, ,8.29074E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Rome to Singapore $1475 RT with SriLankan https://t.co/lcMgCK1SSX All deals https://t.co/ob7l‚Ä?,VTL,,,,,
1055221626,2017-02-07 18:03:17+00:00, ,8.29028E+17,en,1,0,0,2, ,#flightdeal #businessclass Rome to Singapore $1475 RT with SriLankan https://t.co/lcMgCK1SSX All deals https://t.co/ob7lLy7xhd,VTL,,,,,
7.13449E+17,2017-02-05 22:37:45+00:00, ,8.28372E+17,en,0,0,0,2, ,RT @MightyTravels: #flightdeal #businessclass Stockholm to Auckland $2716 RT with Singapore Airlines https://t.co/VIXHU1wshk All deals http‚Ä?,VTL,,,,,
