author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,border measures,,,,,,,,,
245467017,2016-08-05 08:23:10+00:00, ,7.61478E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
201745148,2016-08-05 08:20:55+00:00, ,7.61477E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
1206253951,2016-08-05 08:19:00+00:00, ,7.61477E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
208356170,2016-08-05 08:12:42+00:00, ,7.61475E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
56595020,2016-08-05 08:10:52+00:00, ,7.61475E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
413008762,2016-08-05 08:07:53+00:00, ,7.61474E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
4777686012,2016-08-05 08:05:54+00:00, ,7.61473E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
228611884,2016-08-05 08:04:25+00:00, ,7.61473E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
1212205458,2016-08-05 08:02:40+00:00, ,7.61472E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
271495857,2016-08-05 08:01:50+00:00, ,7.61472E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
347137103,2016-08-05 07:59:32+00:00, ,7.61472E+17,en,0,0,0,80, ,RT @ChannelNewsAsia: Singapore authorities aware of terror plot to attack Marina Bay; inland and border security measures stepped up: MHA h‚Ä?,border measures,,,,,,,,,
